iteration,Episode_Reward/aim,Episode_Reward/cue_scratch,Episode_Reward/foul,Episode_Reward/nine_ball,Episode_Reward/spread,Episode_Termination/balls_at_rest,Episode_Termination/break_foul,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
0,0.014699852094054222,-0.0008681251783855259,-0.07618668675422668,0.0,0.0007238777470774949,0.5552978515625,0.07733154296875,0.11767578125,3.012585163116455,0.0034171876031905413,0.00179577199742198,1.4484405517578125,6.815589427947998,0.28175806999206543,2308.0,0.398407518863678,6.829999923706055,-1.5923523902893066
1,0.017555374652147293,-0.001532809343189001,-0.09336034953594208,0.0,0.0007572752074338496,0.9150390625,0.08819580078125,0.00299072265625,2.938929557800293,0.009999999776482582,0.0015262039378285408,0.9248021841049194,6.477667808532715,0.10033369064331055,2490.0,0.39354822039604187,6.159999847412109,-1.5426113605499268
2,0.01752379536628723,-0.001488346140831709,-0.09374450147151947,0.0,0.0007159977685660124,0.92327880859375,0.07818603515625,0.004150390625,2.8091375827789307,0.009999999776482582,-0.0008806113619357347,0.49238476157188416,6.662220478057861,0.09753751754760742,2423.0,0.3858771324157715,6.53000020980835,-1.4863834381103516
3,0.01770099252462387,-0.0016756958793848753,-0.093764528632164,0.0,0.0008622144814580679,0.91961669921875,0.08306884765625,0.00286865234375,2.78302001953125,0.009999999776482582,-0.001293590059503913,0.24562937021255493,6.52535343170166,0.10005068778991699,2472.0,0.3855012357234955,6.389999866485596,-1.5267553329467773
4,0.017726484686136246,-0.0008826105040498078,-0.09376095235347748,0.0,0.0007252889918163419,0.92779541015625,0.0745849609375,0.00299072265625,2.6402816772460938,0.00017341530474368483,-0.0024215211160480976,0.1262451857328415,6.5097808837890625,0.09604787826538086,2480.0,0.3744913935661316,6.150000095367432,-1.52437162399292
5,0.01786450855433941,-0.0019631043542176485,-0.09201272577047348,0.0,0.0010146754793822765,0.91241455078125,0.08892822265625,0.00360107421875,2.4898841381073,0.00011561020073713735,-0.0019913173746317625,0.16914169490337372,6.713105201721191,0.1270451545715332,2395.0,0.3645273447036743,6.460000038146973,-1.5051493644714355
6,0.01808968186378479,-0.002031330019235611,-0.09152117371559143,0.0,0.0013744302559643984,0.90167236328125,0.099365234375,0.00482177734375,2.282819986343384,0.0019753086380660534,-0.0017254023114219308,0.18264518678188324,6.725464820861816,0.10053753852844238,2400.0,0.3542117476463318,6.389999866485596,-1.4147188663482666
7,0.018246978521347046,-0.002415535505861044,-0.09081360697746277,0.0,0.0015605250373482704,0.89385986328125,0.109130859375,0.00311279296875,1.954935073852539,3.425487375352532e-05,-0.0024781418032944202,0.19074060022830963,6.568434715270996,0.09552788734436035,2458.0,0.3456377387046814,6.239999771118164,-1.4842345714569092
8,0.01853661797940731,-0.0018287522252649069,-0.08960562199354172,0.0,0.001961057772859931,0.89013671875,0.1151123046875,0.00177001953125,1.8124028444290161,0.0002601229352876544,-0.0020829972345381975,0.22322209179401398,6.606680870056152,0.09653234481811523,2444.0,0.33912521600723267,6.53000020980835,-1.3191372156143188
9,0.018710874021053314,-0.0027750255540013313,-0.08790959417819977,0.0,0.002493639476597309,0.87811279296875,0.12469482421875,0.00396728515625,1.523880958557129,3.425487375352532e-05,-0.00269541353918612,0.272655189037323,6.546728134155273,0.09104537963867188,2468.0,0.33228233456611633,6.25,-1.3546080589294434
10,0.01897958107292652,-0.004189987201243639,-0.08396220207214355,0.0,0.0035937672946602106,0.84954833984375,0.15911865234375,0.0028076171875,1.3519785404205322,5.1382310630287975e-05,-0.0027179575990885496,0.39084136486053467,6.212278366088867,0.09102869033813477,2599.0,0.32755014300346375,5.849999904632568,-1.1597386598587036
11,0.01909596100449562,-0.004601721651852131,-0.08245009183883667,0.0,0.0046082111075520515,0.837890625,0.17083740234375,0.00421142578125,1.1597743034362793,0.00039018443203531206,-0.0032714405097067356,0.48586395382881165,6.288893699645996,0.09003853797912598,2568.0,0.32129162549972534,5.889999866485596,-1.199394702911377
12,0.019159682095050812,-0.005771431140601635,-0.07959970086812973,0.0,0.005818475503474474,0.820556640625,0.18695068359375,0.00506591796875,0.8991832733154297,0.00011561020073713735,-0.0043013752438127995,0.5679763555526733,6.269957542419434,0.09052753448486328,2575.0,0.3149166703224182,5.829999923706055,-1.1759506464004517
13,0.019281048327684402,-0.006608519237488508,-0.07850669324398041,0.0,0.006489584222435951,0.79901123046875,0.2083740234375,0.00531005859375,0.7485641837120056,9.999999747378752e-06,-0.003536827629432082,0.6202972531318665,6.282216548919678,0.09417462348937988,2569.0,0.31183576583862305,5.659999847412109,-0.9855061769485474
